Introducing Claire Reed - Editor of The CCIO Handbooks,https://groups.google.com/forum/#!topic/ccio/g9qK6Zefb3w,,
January Best Practice Webinars,https://groups.google.com/forum/#!topic/ccio/oqpHtpzBWjQ,,
Best Practice Webinars 2015,https://groups.google.com/forum/#!topic/ccio/Ag3YbBBxpU0,,
CCIO Leaders Network Summer School 2015,https://groups.google.com/forum/#!topic/ccio/ph0516jRmsU,,
December's Best Practice Webinar - “Connecting Care – Our story so far….”,https://groups.google.com/forum/#!topic/ccio/jF5ksrxN7wc,,
Best Practice Webinars,https://groups.google.com/forum/#!topic/ccio/Jx1v0Qn5SMk,,
"November Best Practice Webinar ""Best practice in eConsent""",https://groups.google.com/forum/#!topic/ccio/aupASiNTq9M,,
Current CCIO Leaders Network Google Group Members,https://groups.google.com/forum/#!topic/ccio/Zu6FqfKcY5g,,
"Fwd: £240m technology fund raided to prop up A&E, sources say",https://groups.google.com/forum/#!topic/ccio/XmBU6pJwt9k,,
Coming Soon!,https://groups.google.com/forum/#!topic/ccio/GY5BoytnFE0,,
"Re: NHSE Clinical Utilisation Review in 15/16 - ""accredited systems"" or market distortion?",https://groups.google.com/forum/#!topic/ccio/NiijxiaYb1A,,
Declaration of interest,https://groups.google.com/forum/#!topic/ccio/TBS91tjWH2Q,,
FW: IG training,https://groups.google.com/forum/#!topic/ccio/TxqVp0j7VlE,,
"Re: NHSE Clinical Utilisation Review in 15/16 - ""accredited systems"" or market distortion?",https://groups.google.com/forum/#!topic/ccio/cCKFP7dwDks,,
IG training,https://groups.google.com/forum/#!topic/ccio/s2QXT_XDMhA,,
Potential Impact of Technology on Workforce over next 10-20 Years,https://groups.google.com/forum/#!topic/ccio/sgMJ91ILAHk,,
CCIO Handbooks – Content Plans,https://groups.google.com/forum/#!topic/ccio/gr7hcbMXhYA,,
Controlled Drugs,https://groups.google.com/forum/#!topic/ccio/bGwd1SAISkE,,
RE: CCIO Handbooks – Content Plans,https://groups.google.com/forum/#!topic/ccio/LrynsPZbagU,,
Information: to share or not to share: the first year: the Independent Information Governance Oversight Panel’s report to the Secretary of State for Health,https://groups.google.com/forum/#!topic/ccio/8YXuAldfRxA,,
mHealth in hospitals,https://groups.google.com/forum/#!topic/ccio/Nh5WiDuBdBw,,
E-Health Insider :: NHSmail SMS funding extended for GPs,https://groups.google.com/forum/#!topic/ccio/qnAGseEOZ6M,,
RE: Tech Fund 2 - any word on what's happening?,https://groups.google.com/forum/#!topic/ccio/3al-m_tvO0I,,
Tech Fund 2 - any word on what's happening?,https://groups.google.com/forum/#!topic/ccio/t7MFIwFMhoM,,
